Date,Open,High,Low,Close,Adj Close,Volume
2/10/2016,13.8485,14.0606,13.7576,13.8788,12.097589,82665
2/11/2016,13.7697,13.8,13.4182,13.4848,11.754158,100815
2/12/2016,13.5697,13.7151,13.297,13.297,11.590459,215655
2/15/2016,13.4606,13.6667,13.3515,13.5091,11.775341,203445
2/16/2016,13.3939,13.897,13.3515,13.7879,12.018356,69135
2/17/2016,13.8485,14.2121,13.6364,13.8061,12.034217,188925
2/18/2016,13.6848,13.8121,13.4424,13.8121,12.039449,69630
2/19/2016,13.3879,13.5939,13.2485,13.497,11.76479,42570
2/22/2016,13.6424,14.2364,13.6182,14.2364,12.409297,315645
2/23/2016,14.0303,14.2727,13.8485,13.8546,12.076494,142395
2/24/2016,13.7939,13.9333,13.4848,13.9333,12.145097,132000
2/25/2016,13.7758,14.0061,13.5212,13.6061,11.859888,244695
2/26/2016,13.7576,13.9394,13.5091,13.6424,11.891527,610170
2/29/2016,13.8727,13.9636,13.6364,13.7636,11.997173,478665
3/1/2016,13.9394,14.4121,13.8909,14.3636,12.533834,526020
3/2/2016,14.4909,14.7758,14.2182,14.5455,12.692558,454575
3/3/2016,15.1515,15.1515,15.1515,15.1515,13.221361,1819290
3/4/2016,15.1515,16.4303,15.1515,15.8182,13.803128,1069200
3/7/2016,15.7818,16.0121,15.2121,15.903,13.877128,1641750
3/8/2016,15.8364,16.5152,15.7636,16.4667,14.369019,159720
3/9/2016,16.5455,16.721201,16.0364,16.0364,13.993534,304920
3/10/2016,16.278799,16.9091,16.103001,16.593901,14.480013,732600
3/11/2016,16.4727,16.9939,16.242399,16.9576,14.797379,681285
3/14/2016,17.0849,17.260599,16.745399,16.903,14.749741,551925
3/15/2016,16.218201,16.503,15.6424,16.1273,14.072854,231330
3/16/2016,15.9212,15.9212,15.1091,15.6727,13.676164,496815
3/17/2016,16.781799,17.3939,16.2061,17.169701,14.982465,948420
3/18/2016,17.103001,17.1152,16.739401,17.0485,14.876701,275880
3/21/2016,17.0303,17.1152,16.878799,17.072701,14.897821,432135
3/22/2016,16.9091,17.0424,16.5152,16.818199,14.675737,183810
3/23/2016,16.5455,16.593901,15.7879,15.9151,13.887687,396000
3/24/2016,15.5273,15.8485,15.5273,15.7818,13.77137,109560
3/28/2016,16.193899,16.3939,16.103001,16.327299,14.247371,131835
3/29/2016,16.375799,16.6667,16.0849,16.5212,14.416574,168795
3/30/2016,16.709101,16.733299,16.3515,16.497,14.395459,386595
3/31/2016,16.4424,16.763599,16,16.187901,14.125737,223905
4/1/2016,16.0303,16.406099,15.8364,16.369699,14.297627,229020
4/4/2016,16.369699,16.369699,15.6061,15.6061,13.630682,241065
4/5/2016,15.4606,15.8121,15.2788,15.6667,13.683608,136125
4/6/2016,15.503,15.7273,15.3576,15.4121,13.461239,129690
4/7/2016,15.6,15.7576,15.6,15.7576,13.763,110550
4/8/2016,16.0849,16.9697,16.0849,16.5273,14.435275,289080
4/11/2016,16.6667,16.818199,16.3636,16.697001,14.5835,246015
4/12/2016,16.8242,17.436399,16.660601,17.297001,15.107549,300630
4/13/2016,17.697001,17.878799,17.236401,17.497,15.282229,202290
4/14/2016,17.5273,17.5273,16.7939,16.812099,14.684023,125400
4/15/2016,17.0424,17.0424,16.630301,16.903,14.76342,313995
4/18/2016,16.903,16.9697,16.327299,16.9333,14.789882,76725
4/19/2016,17.0182,17.0909,16.818199,16.878799,14.742281,135795
4/20/2016,16.763599,16.787901,16.4545,16.787901,14.662884,283140
