Date,Open,High,Low,Close,Adj Close,Volume
2019-01-09,26237.289063,26597.070313,26192.650391,26462.320313,26462.320313,2680892000
2019-01-10,26391.779297,26588.210938,26212.339844,26521.429688,26521.429688,1939043900
2019-01-11,26692.019531,26692.019531,26494.859375,26667.269531,26667.269531,1799353900
2019-01-14,26559.679688,26575.330078,26195.779297,26298.330078,26298.330078,1426017400
2019-01-15,26518.619141,26838.550781,26427.449219,26830.289063,26830.289063,1822902000
2019-01-16,26702.929688,26903.779297,26567.519531,26902.099609,26902.099609,1714886500
2019-01-17,26953.210938,27012.189453,26703.310547,26755.630859,26755.630859,1860541000
2019-01-18,26993.439453,27116.650391,26915.080078,27090.810547,27090.810547,1692701900
2019-01-21,27134.269531,27323.609375,27084.300781,27196.539063,27196.539063,1640014700
2019-01-22,27189.400391,27223.699219,26854.660156,27005.449219,27005.449219,1578449700
2019-01-23,26879.910156,27131.220703,26879.910156,27008.199219,27008.199219,1381999400
2019-01-24,27075.369141,27120.980469,26889.789063,27120.980469,27120.980469,1323732100
2019-01-25,27282.880859,27569.189453,27217.750000,27569.189453,27569.189453,2264965800
2019-01-28,27695.810547,27790.220703,27462.369141,27576.960938,27576.960938,1705146300
2019-01-29,27397.539063,27575.369141,27328.169922,27531.679688,27531.679688,1821838000
2019-01-30,27571.410156,27642.849609,27369.750000,27642.849609,27642.849609,1821894600
2019-01-31,27842.050781,28010.900391,27773.980469,27942.470703,27942.470703,2225282600
2019-02-01,28193.279297,28193.279297,27802.500000,27930.740234,27930.740234,1669716900
2019-02-04,27985.419922,28005.150391,27847.429688,27990.210938,27990.210938,808061300
2019-02-08,27708.130859,28008.820313,27534.199219,27946.320313,27946.320313,1527669600
